Step	Sf2	Ss2	tau_f	tau_s	f
{count}	0.8331739754795904	0.8840412934625345	4.9628712917995196e-11	3.941748108930861e-09	-2.8017813857831846
{count}	0.8493365404790693	0.8806698341857668	4.957225292797486e-11	3.295827319917845e-09	-2.926928533353283
{count}	0.8493365404790693	0.8806698341857668	4.957225292797486e-11	3.295827319917845e-09	-2.926928533353283
{count}	0.8493365404790693	0.8806698341857668	4.957225292797486e-11	3.295827319917845e-09	-2.926928533353283
{count}	0.8493365404790693	0.8806698341857668	4.957225292797486e-11	3.295827319917845e-09	-2.926928533353283
{count}	0.835228096419409	0.8819112087442388	4.94981676599285e-11	3.985289603034031e-09	-2.779927354434581
{count}	0.8335027957490777	0.8805399099592648	4.963449298416077e-11	3.75602499402043e-09	-2.731271682172606
{count}	0.8335027957490777	0.8805399099592648	4.963449298416077e-11	3.75602499402043e-09	-2.731271682172606
{count}	0.8335027957490777	0.8805399099592648	4.963449298416077e-11	3.75602499402043e-09	-2.731271682172606
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8528356935193817	0.8801733993066427	4.959640239424764e-11	2.9808107665855722e-09	-2.902367938661527
{count}	0.8831984758278775	0.879378399406037	4.948882459851588e-11	1.8236012529256284e-09	-3.2244208433602104
{count}	0.8713793686226551	0.8796878634386125	4.9530700652157356e-11	2.2740600798501672e-09	-3.0990575690820834
{count}	0.8719830962949235	0.8948140215022384	4.810352344031864e-11	5.468100697329131e-09	-3.4492973196662153
{count}	0.8797715723524587	0.875308227778389	4.735945774401134e-11	4.885786360216846e-09	-3.3678309883229045
{count}	0.8797715723524587	0.875308227778389	4.735945774401134e-11	4.885786360216846e-09	-3.3678309883229045
{count}	0.8695033386167017	0.8691414673420231	4.733550233201219e-11	5.644062482563699e-09	-3.3761111747373014
{count}	0.8695033386167017	0.8691414673420231	4.733550233201219e-11	5.644062482563699e-09	-3.3761111747373014
{count}	0.8695033386167017	0.8691414673420231	4.733550233201219e-11	5.644062482563699e-09	-3.3761111747373014
{count}	0.8761530866758104	0.8731350853583245	4.735101594988902e-11	5.152999919848019e-09	-3.37074889384702
{count}	0.876674270670094	0.86722654882232	4.736956474119039e-11	4.753467510736054e-09	-2.95770483061825
{count}	0.876674270670094	0.86722654882232	4.736956474119039e-11	4.753467510736054e-09	-2.95770483061825
{count}	0.8865303026166401	0.7917460323099537	4.837642323560617e-11	6.218245195434898e-09	-2.6712386569204214
{count}	0.88310642371144	0.8192756505063	4.8050330730749e-11	6.0349546030860185e-09	-3.0423278644885765
